treatment_class,treatment,orig_var,variable,value,replacement
MappedCodeTransform,impact_code,v_3535,v_3535_impact_code,a,0.0044797148137665785
MappedCodeTransform,impact_code,v_3535,v_3535_impact_code,b,-0.0036360428732054974
MappedCodeTransform,deviation_code,v_3535,v_3535_deviation_code,a,1.3551946436988411
MappedCodeTransform,deviation_code,v_3535,v_3535_deviation_code,b,1.5158603377669317
MappedCodeTransform,prevalence_code,v_3535,v_3535_prevalence_code,a,0.48
MappedCodeTransform,prevalence_code,v_3535,v_3535_prevalence_code,b,0.52
IndicatorCodeTransform,indicator_code,v_3535,v_3535_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_3535,v_3535_lev_a,a,1.0
MappedCodeTransform,impact_code,v_178,v_178_impact_code,a,0.10054533200240177
MappedCodeTransform,impact_code,v_178,v_178_impact_code,b,-0.10790031918527401
MappedCodeTransform,deviation_code,v_178,v_178_deviation_code,a,1.4506697894977318
MappedCodeTransform,deviation_code,v_178,v_178_deviation_code,b,1.409043505577032
MappedCodeTransform,prevalence_code,v_178,v_178_prevalence_code,a,0.52
MappedCodeTransform,prevalence_code,v_178,v_178_prevalence_code,b,0.48
IndicatorCodeTransform,indicator_code,v_178,v_178_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_178,v_178_lev_b,b,1.0
MappedCodeTransform,impact_code,v_3399,v_3399_impact_code,a,0.0522462124049883
MappedCodeTransform,impact_code,v_3399,v_3399_impact_code,b,-0.05267973229147492
MappedCodeTransform,deviation_code,v_3399,v_3399_deviation_code,a,1.4311767297256215
MappedCodeTransform,deviation_code,v_3399,v_3399_deviation_code,b,1.4415989394350208
MappedCodeTransform,prevalence_code,v_3399,v_3399_prevalence_code,a,0.51
MappedCodeTransform,prevalence_code,v_3399,v_3399_prevalence_code,b,0.49
IndicatorCodeTransform,indicator_code,v_3399,v_3399_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_3399,v_3399_lev_b,b,1.0
MappedCodeTransform,impact_code,v_1666,v_1666_impact_code,a,0.05871576482485866
MappedCodeTransform,impact_code,v_1666,v_1666_impact_code,b,-0.05026791117304276
MappedCodeTransform,deviation_code,v_1666,v_1666_deviation_code,a,1.3342503363833838
MappedCodeTransform,deviation_code,v_1666,v_1666_deviation_code,b,1.5312390186624458
MappedCodeTransform,prevalence_code,v_1666,v_1666_prevalence_code,a,0.5
MappedCodeTransform,prevalence_code,v_1666,v_1666_prevalence_code,b,0.5
IndicatorCodeTransform,indicator_code,v_1666,v_1666_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_1666,v_1666_lev_a,a,1.0
MappedCodeTransform,impact_code,v_3831,v_3831_impact_code,a,-0.009748498634310113
MappedCodeTransform,impact_code,v_3831,v_3831_impact_code,b,0.007534798608930571
MappedCodeTransform,deviation_code,v_3831,v_3831_deviation_code,a,1.3291077737742119
MappedCodeTransform,deviation_code,v_3831,v_3831_deviation_code,b,1.532349744979423
MappedCodeTransform,prevalence_code,v_3831,v_3831_prevalence_code,a,0.47
MappedCodeTransform,prevalence_code,v_3831,v_3831_prevalence_code,b,0.53
IndicatorCodeTransform,indicator_code,v_3831,v_3831_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_3831,v_3831_lev_a,a,1.0
MappedCodeTransform,impact_code,v_4642,v_4642_impact_code,a,0.2038824066851581
MappedCodeTransform,impact_code,v_4642,v_4642_impact_code,b,-0.18329395639978285
MappedCodeTransform,deviation_code,v_4642,v_4642_deviation_code,a,1.1559944099012271
MappedCodeTransform,deviation_code,v_4642,v_4642_deviation_code,b,1.6569854916404312
MappedCodeTransform,prevalence_code,v_4642,v_4642_prevalence_code,a,0.52
