year,country,tariff,polity,pop,gdp.pc,intresmi,signed,fiveop,usheg
1981,SriLanka,NA,6,14988000,461.023590087891,1.93734729290009,0,12.3999996185303,0.259311199188232
1982,SriLanka,NA,5,15189000,473.763397216797,1.96442985534668,0,12.5,0.255800783634186
1983,SriLanka,41.2999992370605,5,15417000,489.2265625,1.66393625736237,1,12.3000001907349,0.26550218462944
1984,SriLanka,NA,5,15599000,508.173919677734,2.79746222496033,0,12.3000001907349,0.29880091547966
1985,SriLanka,31,5,15837000,525.560852050781,2.25911593437195,0,12.3000001907349,0.295243144035339
1986,SriLanka,NA,5,16117000,538.923706054688,1.83254861831665,0,12.5,0.288656324148178
1987,SriLanka,27.2999992370605,5,16361000,540.047485351562,1.42298293113708,0,12.5,0.273409217596054
1988,SriLanka,27.2999992370605,5,16587000,545.861022949219,1.0596239566803,1,12.6000003814697,0.275646895170212
1989,SriLanka,NA,5,16806000,551.135314941406,1.1375572681427,0,12.6000003814697,0.278538733720779
1990,SriLanka,28.2999992370605,5,16993000,579.954833984375,1.6636323928833,0,12.6999998092651,0.26083317399025
1991,SriLanka,26.8999996185303,5,17247000,597.69873046875,2.28521299362183,1,12.8000001907349,0.258987247943878
1992,SriLanka,25,5,17405000,618.332946777344,2.87787675857544,NA,13.1000003814697,0.262301683425903
1993,SriLanka,24.2000007629395,5,17628420,652.620483398438,4.28036117553711,0,13.1999998092651,0.281292796134949
1994,SriLanka,26,5,17865000,680.040832519531,4.38991212844849,0,13.1999998092651,0.278358489274979
1995,SriLanka,20,5,18112000,707.659057617188,3.99591898918152,0,13.1999998092651,0.262719452381134
1996,SriLanka,NA,5,18300000,727.00390625,3.67676281929016,0,13.1999998092651,0.26816999912262
1997,SriLanka,20,5,18552000,763.063781738281,3.51430082321167,0,13.1999998092651,0.284403562545776
1998,SriLanka,NA,5,18778000,789.30029296875,NA,0,NA,0.295667797327042
1999,SriLanka,NA,6,18985000,814.268615722656,NA,0,NA,0.308314651250839
1981,India,74.3000030517578,8,702821248,236.089431762695,5.54284572601318,1,12.3999996185303,0.259311199188232
1982,India,NA,8,718425600,239.694702148438,5.9615273475647,0,12.5,0.255800783634186
1983,India,NA,8,734071936,252.007415771484,5.67877388000488,0,12.3000001907349,0.26550218462944
1984,India,NA,8,749676928,255.838073730469,5.61511564254761,0,12.3000001907349,0.29880091547966
1985,India,NA,8,765147008,264.372863769531,5.67779493331909,0,12.3000001907349,0.295243144035339
1986,India,100,8,781892992,271.308837890625,6.06229782104492,0,12.5,0.288656324148178
